ssp,time,tas,ensemble,model
ssp245,2021,12.8051815,NEX,ACCESS-ESM1-5
ssp245,2022,12.392883,NEX,ACCESS-ESM1-5
ssp245,2023,13.274311,NEX,ACCESS-ESM1-5
ssp245,2024,13.9579735,NEX,ACCESS-ESM1-5
ssp245,2025,13.3075,NEX,ACCESS-ESM1-5
ssp245,2026,12.822267,NEX,ACCESS-ESM1-5
ssp245,2027,13.242553,NEX,ACCESS-ESM1-5
ssp245,2028,13.863532,NEX,ACCESS-ESM1-5
ssp245,2029,13.424714,NEX,ACCESS-ESM1-5
ssp245,2030,13.229605,NEX,ACCESS-ESM1-5
ssp245,2031,13.5752945,NEX,ACCESS-ESM1-5
ssp245,2032,14.549413,NEX,ACCESS-ESM1-5
ssp245,2033,14.7207,NEX,ACCESS-ESM1-5
ssp245,2034,14.101831,NEX,ACCESS-ESM1-5
ssp245,2035,13.152689,NEX,ACCESS-ESM1-5
ssp245,2036,14.360545,NEX,ACCESS-ESM1-5
ssp245,2037,14.718138,NEX,ACCESS-ESM1-5
ssp245,2038,13.616801,NEX,ACCESS-ESM1-5
ssp245,2039,13.194659,NEX,ACCESS-ESM1-5
ssp245,2040,13.687412,NEX,ACCESS-ESM1-5
ssp245,2041,13.8592825,NEX,ACCESS-ESM1-5
ssp245,2042,14.389695,NEX,ACCESS-ESM1-5
ssp245,2043,14.197556,NEX,ACCESS-ESM1-5
ssp245,2044,14.461824,NEX,ACCESS-ESM1-5
ssp245,2045,15.474549,NEX,ACCESS-ESM1-5
ssp245,2046,15.607266,NEX,ACCESS-ESM1-5
ssp245,2047,15.149543,NEX,ACCESS-ESM1-5
ssp245,2048,14.890478,NEX,ACCESS-ESM1-5
ssp245,2049,15.227713,NEX,ACCESS-ESM1-5
ssp245,2050,14.812225,NEX,ACCESS-ESM1-5
ssp245,2051,14.158594,NEX,ACCESS-ESM1-5
ssp245,2052,14.229344,NEX,ACCESS-ESM1-5
ssp245,2053,13.314108,NEX,ACCESS-ESM1-5
ssp245,2054,14.008411,NEX,ACCESS-ESM1-5
ssp245,2055,14.983908,NEX,ACCESS-ESM1-5
ssp245,2056,15.347667,NEX,ACCESS-ESM1-5
ssp245,2057,15.737449,NEX,ACCESS-ESM1-5
ssp245,2058,14.096911,NEX,ACCESS-ESM1-5
ssp245,2059,15.207957,NEX,ACCESS-ESM1-5
ssp245,2060,15.64106,NEX,ACCESS-ESM1-5
ssp245,2061,14.801993,NEX,ACCESS-ESM1-5
ssp245,2062,15.826461,NEX,ACCESS-ESM1-5
ssp245,2063,14.48603,NEX,ACCESS-ESM1-5
ssp245,2064,14.391143,NEX,ACCESS-ESM1-5
ssp245,2065,15.225681,NEX,ACCESS-ESM1-5
ssp245,2066,15.205391,NEX,ACCESS-ESM1-5
ssp245,2067,14.208872,NEX,ACCESS-ESM1-5
ssp245,2068,14.922508,NEX,ACCESS-ESM1-5
ssp245,2069,14.692689,NEX,ACCESS-ESM1-5
ssp245,2070,15.551376,NEX,ACCESS-ESM1-5
ssp245,2071,15.577266,NEX,ACCESS-ESM1-5
ssp245,2072,13.844716,NEX,ACCESS-ESM1-5
ssp245,2073,14.176606,NEX,ACCESS-ESM1-5
ssp245,2074,15.037458,NEX,ACCESS-ESM1-5
ssp245,2075,15.7859955,NEX,ACCESS-ESM1-5
ssp245,2076,14.729338,NEX,ACCESS-ESM1-5
ssp245,2077,14.564858,NEX,ACCESS-ESM1-5
ssp245,2078,14.687848,NEX,ACCESS-ESM1-5
ssp245,2079,15.770198,NEX,ACCESS-ESM1-5
ssp245,2080,16.87436,NEX,ACCESS-ESM1-5
ssp245,2081,15.531721,NEX,ACCESS-ESM1-5
ssp245,2082,14.665712,NEX,ACCESS-ESM1-5
ssp245,2083,14.411351,NEX,ACCESS-ESM1-5
ssp245,2084,15.812506,NEX,ACCESS-ESM1-5
ssp245,2085,15.462482,NEX,ACCESS-ESM1-5
ssp245,2086,14.766275,NEX,ACCESS-ESM1-5
ssp245,2087,16.307701,NEX,ACCESS-ESM1-5
ssp245,2088,15.342419,NEX,ACCESS-ESM1-5
ssp245,2089,16.525385,NEX,ACCESS-ESM1-5
ssp245,2090,16.78506,NEX,ACCESS-ESM1-5
ssp245,2091,15.125781,NEX,ACCESS-ESM1-5
ssp245,2092,17.202026,NEX,ACCESS-ESM1-5
ssp245,2093,16.536919,NEX,ACCESS-ESM1-5
ssp245,2094,16.419065,NEX,ACCESS-ESM1-5
ssp245,2095,17.414267,NEX,ACCESS-ESM1-5
ssp245,2096,16.01462,NEX,ACCESS-ESM1-5
ssp245,2097,15.605559,NEX,ACCESS-ESM1-5
ssp245,2098,14.258157,NEX,ACCESS-ESM1-5
ssp245,2099,14.125286,NEX,ACCESS-ESM1-5
ssp245,2100,15.65697,NEX,ACCESS-ESM1-5
ssp370,2015,13.993474,NEX,ACCESS-ESM1-5
ssp370,2016,12.152337,NEX,ACCESS-ESM1-5
ssp370,2017,12.576749,NEX,ACCESS-ESM1-5
ssp370,2018,13.184796,NEX,ACCESS-ESM1-5
ssp370,2019,13.987036,NEX,ACCESS-ESM1-5
ssp370,2020,13.053723,NEX,ACCESS-ESM1-5
ssp370,2021,12.297152,NEX,ACCESS-ESM1-5
ssp370,2022,14.082523,NEX,ACCESS-ESM1-5
ssp370,2023,14.560909,NEX,ACCESS-ESM1-5
ssp370,2024,14.604749,NEX,ACCESS-ESM1-5
ssp370,2025,13.586908,NEX,ACCESS-ESM1-5
ssp370,2026,13.860228,NEX,ACCESS-ESM1-5
ssp370,2027,13.91947,NEX,ACCESS-ESM1-5
ssp370,2028,14.248001,NEX,ACCESS-ESM1-5
ssp370,2029,14.574402,NEX,ACCESS-ESM1-5
ssp370,2030,12.961323,NEX,ACCESS-ESM1-5
ssp370,2031,14.141868,NEX,ACCESS-ESM1-5
ssp370,2032,13.607463,NEX,ACCESS-ESM1-5
ssp370,2033,14.206918,NEX,ACCESS-ESM1-5
ssp370,2034,13.606019,NEX,ACCESS-ESM1-5
ssp370,2035,12.777633,NEX,ACCESS-ESM1-5
ssp370,2036,13.391623,NEX,ACCESS-ESM1-5
